date, time, scenario, factor, error, table, query, run, total_runs, time_original, time_distorted, tuple_amount_original, tuple_amount_distorted, tuple_amount_intersection, recall, precision
2025_09_13,19_22_05,duplication,1,0.01,region,Q2,1,50,345.01,371.77,434,434,434,1,1
2025_09_13,19_22_09,duplication,1,0.01,region,Q5,1,50,1951.32,1900.71,5,5,5,1,1
2025_09_13,19_22_22,duplication,1,0.01,region,Q8,1,50,6255.21,6254.78,2,2,2,1,1
2025_09_13,19_22_25,duplication,1,0.01,nation,Q2,1,50,391.09,1833.77,485,581,485,1,0.834767642
2025_09_13,19_22_29,duplication,1,0.01,nation,Q5,1,50,2093.77,1963.47,5,5,5,1,1
2025_09_13,19_22_33,duplication,1,0.01,nation,Q7,1,50,2040.59,1716.69,4,4,4,1,1
2025_09_13,19_23_28,duplication,1,0.01,nation,Q8,1,50,6318.83,48652.85,2,2,0,0,0
2025_09_13,19_23_39,duplication,1,0.01,nation,Q9,1,50,3291.56,7314.72,175,175,168,0.96,0.96
2025_09_13,19_23_51,duplication,1,0.01,nation,Q10,1,50,3532.2,7516.57,37690,37690,36221,0.961024144,0.961024144
2025_09_13,19_23_52,duplication,1,0.01,nation,Q11,1,50,255.84,248.81,911,911,911,1,1
2025_09_13,19_23_52,duplication,1,0.01,nation,Q20,1,50,18.24,17.42,0,0,0,X,0
2025_09_13,19_24_17,duplication,1,0.01,nation,Q21,1,50,12180.05,12145.38,362,362,362,1,1
2025_09_13,19_24_29,duplication,1,0.01,customer,Q3,1,50,2973.73,3181.11,11407,11407,11407,1,1
2025_09_13,19_24_33,duplication,1,0.01,customer,Q5,1,50,1946.55,2018.9,5,5,5,1,1
2025_09_13,19_24_35,duplication,1,0.01,customer,Q7,1,50,1131.68,1034.71,0,0,0,X,0
2025_09_13,19_24_46,duplication,1,0.01,customer,Q8,1,50,6291.41,4143.04,2,2,2,1,1
2025_09_13,19_24_58,duplication,1,0.01,customer,Q10,1,50,3530.87,7190.98,37018,37018,37013,0.999864931,0.999864931
2025_09_13,19_25_10,duplication,1,0.01,customer,Q13,1,50,6034.29,6680.79,42,44,29,0.69047619,0.659090909
2025_09_13,19_25_33,duplication,1,0.01,customer,Q18,1,50,9268.49,13074.49,697,697,697,1,1
2025_09_13,19_25_34,duplication,1,0.01,customer,Q22,1,50,509.9,572.35,7,7,6,0.857142857,0.857142857
2025_09_13,19_26_38,duplication,1,0.01,orders,Q3,1,50,2879.09,3599.23,11479,11479,11477,0.999825769,0.999825769
2025_09_13,19_26_42,duplication,1,0.01,orders,Q4,1,50,2044.79,2132.97,5,5,2,0.4,0.4
2025_09_13,19_26_46,duplication,1,0.01,orders,Q5,1,50,1948.16,2015.15,5,5,2,0.4,0.4
2025_09_13,19_26_51,duplication,1,0.01,orders,Q7,1,50,2056.39,2418.06,4,4,2,0.5,0.5
2025_09_13,19_27_04,duplication,1,0.01,orders,Q8,1,50,6324.54,6481.91,2,2,1,0.5,0.5
2025_09_13,19_27_59,duplication,1,0.01,orders,Q9,1,50,3276.86,52054.02,175,175,143,0.817142857,0.817142857
2025_09_13,19_28_08,duplication,1,0.01,orders,Q10,1,50,3675.54,3984.26,37967,37967,37963,0.999894645,0.999894645
2025_09_13,19_28_32,duplication,1,0.01,orders,Q12,1,50,8332.19,15475.21,2,2,1,0.5,0.5
2025_09_13,19_28_45,duplication,1,0.01,orders,Q13,1,50,6031.37,6558.19,42,42,18,0.428571429,0.428571429
2025_09_13,19_29_04,duplication,1,0.01,orders,Q18,1,50,9335.71,9408.34,917,917,917,1,1
2025_09_13,19_29_29,duplication,1,0.01,orders,Q21,1,50,12186.21,12574.99,377,377,377,1,1
2025_09_13,19_29_31,duplication,1,0.01,orders,Q22,1,50,528.36,518.11,7,7,7,1,1
2025_09_13,19_29_43,duplication,1,0.01,supplier,Q2,1,50,367.9,7526.21,472,473,472,1,0.997885835
